symbol,current,amount,pcf
SZ300967,10.38,127618576.09,晓鸣股份,57.43253386369512
SZ002869,30.64,1368047972.5,金溢科技,
SZ300329,4.3,122999913.0,海伦钢琴,
SZ300120,7.77,1204104932.12,经纬辉开,350.3348595629075
SZ300302,9.9,345574645.53,同有科技,
SH603477,25.19,350781933.0,巨星农牧,
SZ000702,4.37,149279455.66,正虹科技,524.9620282632361
SH600711,5.73,2572440015.0,盛屯矿业,16.6612701613561
SZ300630,8.45,400476135.06,普利制药,
SZ002726,6.69,155378358.37,龙大美食,
SZ300582,10.98,593917587.32,英飞特,
SZ300862,22.45,125456399.36,蓝盾光电,49.682381606710074
SH688049,23.62,233066954.0,炬芯科技,25.640058358302447
SH688608,166.79,688214598.0,恒玄科技,54.48631922398601
SZ300321,17.65,88318682.9,同大股份,153.75143253933118
SZ300117,1.24,39580908.2,*ST嘉寓,37.187775616095095
SZ300989,12.25,142703503.26,蕾奥规划,958.6974188594969
SZ002418,1.87,166137513.45,康盛股份,12.923031557572584
SH900934,1.495,1952637.0,锦江B股,0.3286100453387985
SZ300717,14.79,76954654.76,华信新材,23.79818111170548
SH688717,57.37,381544498.0,艾罗能源,34.70582156110636
SZ301567,46.24,302932380.06,贝隆精密,69.96947973612534
SH688089,14.1,153577723.0,嘉必优,20.186445146519667
SZ300923,17.63,86129252.1,研奥股份,
SH688127,20.08,307701721.0,蓝特光学,26.644157635803833
SZ002468,8.58,373982900.88,申通快递,3.717123737761796
SZ301022,21.25,153555634.6,海泰科,
SZ300114,50.88,1586285509.78,中航电测,175.05156211619243
SZ301161,16.03,98486396.45,唯万密封,144.03000837820224
SH600188,15.66,886829305.0,兖矿能源,12.080174952311019
SH600611,4.45,1744965619.0,大众交通,
SZ300139,13.66,984366213.45,晓程科技,105.43785565329773
SH600843,7.19,437112952.0,上工申贝,81.38946746719252
SZ002134,9.18,223773952.0,天津普林,44.54429793632671
SZ301117,24.49,115790167.32,佳缘科技,
SH688072,124.0,496890564.0,拓荆科技,
SZ300990,29.32,142190182.21,同飞股份,
SH688120,135.09,345915857.0,华海清科,42.651706075918945
SZ000892,2.57,92916538.71,欢瑞世纪,56.82067416305463
SH603648,8.41,121672100.0,畅联股份,8.619206210009494
SZ301529,34.06,112240842.97,福赛科技,18.853365542827557
SZ300182,3.86,587258020.85,捷成股份,7.749436031513663
SZ002741,12.0,392117821.32,光华科技,28.73866718138643
SZ002875,10.64,125015963.85,安奈儿,
SH603377,1.16,31122590.0,ST东时,2.9323382384609156
SZ002656,0.98,4941600.17,ST摩登,41.78364659349721
SZ002796,7.94,149319794.25,世嘉科技,
SZ301580,67.95,312052141.35,爱迪特,57.75654413164001
SZ000809,2.01,1184694.0,*ST和展,
SH600165,2.21,74274981.0,*ST宁科,23.054507308313067
SZ300348,8.08,347295926.0,长亮科技,188.92202317889607
SZ002052,1.23,15919812.77,*ST同洲,
SZ000584,1.44,21305086.95,*ST工智,5.790655603453059
SZ002742,1.85,5056992.0,ST三圣,
SZ300498,20.25,1022131698.43,温氏股份,12.965004925953398
SZ002977,28.36,137105059.56,天箭科技,19.194708610905575
SZ002592,4.15,6473739.0,ST八菱,16.15138018120411
SH600381,2.49,17659264.0,ST春天,22.32825478793493
SZ002100,7.07,339045156.19,天康生物,4.971042222595302
SH603879,2.5,25603408.0,ST永悦,
SZ000851,1.67,5812167.8,ST高鸿,
SZ001207,15.13,124029862.56,联科科技,15.35581541641305
SZ002766,5.25,598128893.28,索菱股份,21.788799585612143
SZ002700,9.07,63440364.4,ST浩源,27.54964445162814
SZ000023,1.9,3395318.0,*ST深天,
SZ300426,7.19,127251942.5,唐德影视,
SZ002822,1.27,36872403.35,ST中装,7.818515032646007
SZ301231,18.64,208559362.62,荣信文化,
SH603329,11.53,52868906.0,上海雅仕,11.522398424193486
SZ002124,2.15,148029842.74,ST天邦,
SZ002750,1.72,21596968.2,*ST龙津,
SH688332,54.96,145692201.0,中科蓝讯,
SH600234,2.37,6838994.0,*ST科新,
SZ002336,2.38,1270444.0,*ST人乐,
SH600360,3.49,320667096.0,ST华微,13.207278183059826
SH605117,88.88,1124424585.0,德业股份,38.670121048903525
SH600833,11.16,61417868.0,第一医药,
SZ000908,1.12,1053843.84,*ST景峰,32.7526576587469
SZ003005,24.95,232265451.3,竞业达,97.3500528060895
SZ300786,11.48,109767668.56,国林科技,
SH688018,108.0,376388186.0,乐鑫科技,47.09126627892885
SZ300468,8.69,212407129.8,四方精创,54.911288253919565
SZ301325,40.12,160558082.96,曼恩斯特,
SH688300,53.67,241840480.0,联瑞新材,52.74519728622779
SZ300552,35.56,724864177.84,万集科技,
SH688256,208.2,1340770891.0,寒武纪-U,
SZ000861,0.95,368343323.35,海印股份,6.227263198613604
SH688793,32.8,43567250.0,倍轻松,20.299243357363242
SH605300,11.7,11586617.0,佳禾食品,11.334627353041405
SZ300903,7.34,318247531.04,科翔股份,
SH603993,9.13,1959089559.0,洛阳钼业,12.041472397628004
SZ003026,32.37,297573102.48,中晶科技,44.707423672484246
